group,type,renewal_status,user_device,order_status,insurance_company_id,payment_method,price,date,voucher
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,done,60,cash,4.18E+06,2022-10-03 14:31:55,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_desktop,done,39,cash,7.63E+06,2022-10-09 07:16:25,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,30,cash,5.76E+06,2022-10-09 15:32:13,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,63,credit,8.53E+06,2022-10-11 19:31:32,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,application,done,33,cash,8.59E+06,2022-10-13 21:03:49,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_desktop,revoked,63,cash,4.79E+06,2022-10-15 14:34:55,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,63,credit,6.12E+06,2022-10-16 13:46:13,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_desktop,waiting_for_payment,30,cash,4.00E+06,2022-10-17 09:59:43,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,24,cash,5.31E+06,2022-10-18 09:59:39,0
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,30,credit,5.04E+06,2022-10-18 22:16:46,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,done,39,cash,4.88E+06,2022-10-20 09:01:01,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,revoked,63,cash,5.53E+06,2022-10-21 17:02:19,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,application,done,39,cash,2934356.667,2022-10-21 23:57:06,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,application,done,30,credit,1.08E+07,2022-10-23 22:25:13,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,,waiting_for_payment,60,credit,5.35E+06,2022-10-23 12:00:08,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,done,24,cash,7.37E+06,2022-11-08 15:27:04,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,application,done,30,credit,6.81E+06,2022-10-26 15:54:50,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,60,cash,6.15E+06,2022-09-20 13:30:18,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,returning,web_mobile,done,63,credit,6.00E+06,2022-09-22 08:04:04,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_desktop,done,24,cash,3340720,2022-09-25 15:30:21,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,returning,web_mobile,revoked,60,cash,4.52E+06,2022-09-25 19:54:13,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,30,cash,7.74E+06,2022-09-26 02:11:41,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,39,cash,8.13E+06,2022-09-26 15:38:45,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,24,credit,9.74E+06,2022-09-27 07:37:02,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_desktop,done,63,cash,5.69E+06,2022-09-29 12:13:06,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,63,credit,6.97E+06,2022-09-30 19:21:47,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,30,cash,5.63E+06,2022-10-01 02:08:13,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,application,waiting_for_payment,66,cash,6.49E+06,2022-10-01 15:23:34,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,done,30,cash,5.56E+06,2022-10-02 10:59:47,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_desktop,done,24,cash,6.71E+06,2023-03-21 11:52:49,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,69,credit,4.24E+06,2022-12-15 12:37:41,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,63,credit,5.65E+06,2022-10-23 11:47:47,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_desktop,revoked,15,cash,1986133.333,2022-10-07 09:32:29,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,application,done,30,credit,3.80E+06,2022-10-08 13:00:26,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,done,66,credit,2447573.333,2022-10-11 11:59:41,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_desktop,done,30,cash,4.45E+06,2022-10-16 09:04:40,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,30,credit,4.69E+06,2022-10-11 22:00:47,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,24,credit,2920296.667,2022-10-12 13:20:23,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,application,waiting_for_payment,33,cash,1.08E+07,2022-10-13 23:44:00,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,30,cash,4.93E+06,2022-10-14 01:16:48,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_desktop,revoked,63,cash,4.56E+06,2022-10-15 17:15:10,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,63,credit,5.21E+06,2022-10-16 01:15:14,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,30,credit,4.75E+06,2022-10-17 17:02:07,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,63,cash,8.18E+06,2022-10-18 15:40:50,0
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,30,credit,4.05E+06,2022-10-19 13:49:11,0
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,done,24,cash,3.82E+06,2022-10-23 19:32:07,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,60,cash,3152946.667,2022-10-23 17:41:51,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,application,revoked,33,credit,9.60E+06,2022-10-24 23:23:17,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,application,done,27,cash,1250910,2022-10-26 22:02:26,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,24,cash,2465690,2022-09-16 23:36:22,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,returning,web_mobile,revoked,24,cash,3.96E+06,2022-09-17 13:48:25,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_desktop,waiting_for_payment,63,cash,8.59E+06,2022-09-14 15:53:47,0
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,60,credit,3.44E+06,2022-09-19 15:03:11,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_desktop,revoked,66,cash,5.36E+06,2022-09-19 08:40:42,0
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,revoked,39,cash,9.24E+06,2022-09-22 12:59:39,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,33,credit,8.95E+06,2022-09-19 16:05:50,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,60,credit,5.57E+06,2022-09-19 17:03:56,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,60,cash,3103450,2022-09-21 21:22:58,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_desktop,done,63,credit,8.20E+06,2022-09-25 09:47:55,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,27,cash,9.76E+06,2022-09-30 09:37:28,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,27,cash,6.88E+06,2022-09-30 22:12:14,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,66,cash,4.01E+06,2022-10-02 11:49:40,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,15,cash,4.82E+06,2022-10-07 00:29:03,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,done,27,cash,7.33E+06,2022-10-10 23:01:11,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,24,cash,2878490,2022-10-10 11:39:09,0
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,27,cash,8.53E+06,2022-10-10 22:55:58,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,39,cash,4.24E+06,2022-10-11 08:26:33,0
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_desktop,waiting_for_payment,24,cash,3.99E+06,2022-10-11 12:44:03,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,revoked,63,cash,4.46E+06,2022-10-11 13:07:48,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_desktop,done,39,cash,3145623.333,2022-10-13 17:22:22,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,63,cash,4.43E+06,2022-10-15 09:11:25,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,24,cash,4.18E+06,2022-10-15 23:15:30,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,application,waiting_for_payment,60,credit,1.04E+07,2022-10-17 01:05:27,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,application,done,63,cash,4.61E+06,2022-10-17 12:40:43,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_desktop,done,30,credit,6.99E+06,2022-10-21 06:53:32,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,done,24,cash,4.01E+06,2022-10-22 15:30:43,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,returning,web_mobile,done,39,cash,6.64E+06,2022-09-23 19:52:06,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_desktop,waiting_for_payment,60,credit,7.81E+06,2022-09-19 10:37:16,0
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,60,cash,4.04E+06,2022-09-20 19:32:59,0
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,returning,application,done,60,credit,6.53E+06,2022-09-21 11:42:06,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,24,credit,7.01E+06,2022-09-23 14:40:44,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,33,cash,8.07E+06,2022-09-23 18:08:49,0
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,39,cash,6.48E+06,2022-09-27 00:12:13,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_desktop,revoked,24,credit,8.74E+06,2022-09-27 18:31:43,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_desktop,done,30,credit,7.76E+06,2022-09-29 08:23:37,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,63,credit,3.54E+06,2022-10-02 18:31:47,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,66,credit,7.32E+06,2022-10-03 22:32:13,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,39,cash,6.18E+06,2022-10-04 22:44:17,0
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,application,waiting_for_payment,30,credit,7.28E+06,2022-10-07 10:11:31,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,63,credit,3.79E+06,2022-10-08 17:29:03,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,30,cash,5.17E+06,2022-10-11 09:20:11,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_desktop,done,15,cash,2050200,2022-10-13 09:14:35,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_desktop,done,24,credit,5.26E+06,2022-10-13 10:14:56,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,63,credit,8.12E+06,2022-10-13 19:46:12,0
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,30,credit,8.78E+06,2022-10-14 18:42:48,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_desktop,done,30,cash,4.82E+06,2022-10-15 09:06:38,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,54,cash,2300560,2022-10-15 17:35:58,0
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,revoked,60,credit,9.67E+06,2022-10-15 23:22:10,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,24,credit,4.60E+06,2022-10-18 09:42:49,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,30,credit,6.81E+06,2022-10-18 10:48:07,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,63,credit,5.57E+06,2022-10-20 16:19:14,0
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,done,60,credit,3146346.667,2022-10-24 12:11:43,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_desktop,done,30,credit,3.63E+06,2022-10-24 16:23:57,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,revoked,24,cash,4.97E+06,2022-10-25 17:23:21,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,application,revoked,63,credit,9.89E+06,2022-10-26 15:35:31,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,27,cash,8.42E+06,2022-10-26 22:56:59,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,returning,web_mobile,done,54,cash,3.56E+06,2022-09-17 16:51:05,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,returning,web_mobile,done,60,cash,1418006.667,2022-09-18 12:21:45,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,returning,web_mobile,done,63,cash,5.40E+06,2022-09-26 15:41:47,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,application,waiting_for_payment,60,cash,8.00E+06,2022-09-20 16:42:02,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,returning,application,revoked,39,cash,3.73E+06,2022-09-21 09:50:14,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,63,cash,3.71E+06,2022-09-23 17:15:40,0
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,returning,application,done,39,cash,3.76E+06,2022-09-23 20:44:08,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,returning,web_desktop,done,27,cash,5.56E+06,2022-09-24 12:29:00,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,returning,web_mobile,revoked,66,cash,4.29E+06,2022-09-26 15:54:33,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,done,63,cash,9.43E+06,2022-09-28 14:30:35,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,30,cash,5.63E+06,2022-09-28 11:48:23,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,done,39,cash,4.28E+06,2022-09-28 21:01:58,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,done,63,cash,6.83E+06,2022-09-30 00:18:28,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,33,cash,9.23E+06,2022-09-30 14:46:09,0
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,,done,24,credit,8.37E+06,2023-04-09 09:08:34,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_desktop,done,15,cash,9.94E+06,2022-10-03 13:28:10,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,63,credit,7.39E+06,2022-10-03 21:01:47,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,done,39,cash,5.39E+06,2022-10-06 19:06:39,1
"{""id"":1,""type"":""json"",""value"":{""group"":""B"",""operation_cost"":80000}}",vehicle_body_insurance,new_customer,web_mobile,waiting_for_payment,24,cash,5.94E+06,2022-10-04 16:01:11,0
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_desktop,done,63,cash,6.91E+06,2022-10-05 14:28:30,1
"{""id"":2,""type"":""json"",""value"":{""group"":""C"",""operation_cost"":40000}}",vehicle_body_insurance,new_customer,web_desktop,done,24,credit,9.95E+06,2022-10-05 16:49:03,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,revoked,63,cash,4.43E+06,2022-10-12 21:08:42,1
"{""id"":0,""type"":""json"",""value"":{""group"":""A"",""operation_cost"":0}}",vehicle_body_insurance,new_customer,web_mobile,done,63,credit,3.82E+06,2022-10-16 16:04:39,1
